"sample","Kracken_Unclassified","Kracken_Bacteria","Kracken_Mycobacterium","Kracken_MTBC","Kracken_M.tuberculosis","Kraken_human","Kracken_Bacteria_Myco_Ratio","Kracken_Myco_MTBC_Ratio","Bacterial_Contamination","Mycobacterial_Contamination"
"ERR3256170",0.05,99.94,99.87,28.06,15.06,0,1.00070091118454,3.55915894511761,"no","no"
"ERR3256171",0.06,99.93,99.77,28.33,15.24,0,1.00160368848351,3.52170843628662,"no","no"
"ERR3256172",0.08,99.91,99.68,28.05,15.07,0,1.00230738362761,3.55365418894831,"no","no"
"ERR3256173",0.03,99.96,99.9,28.3,15.14,0,1.0006006006006,3.53003533568905,"no","no"
"ERR3256174",0.04,99.95,99.83,29.05,15.85,0,1.00120204347391,3.43648881239243,"no","no"
"ERR3256175",0.06,99.92,99.77,28.83,15.62,0.01,1.00150345795329,3.46063128685397,"no","no"
"ERR3256176",0.05,99.93,99.81,28.17,15.07,0,1.00120228434025,3.54313099041534,"no","no"
"ERR3256177",0.04,99.96,99.87,27.72,14.59,0,1.00090117152298,3.60281385281385,"no","no"
"ERR3256178",0.04,99.96,99.89,27.7,14.56,0,1.00070077084793,3.60613718411552,"no","no"
"ERR3256179",0.07,99.92,99.73,28.57,15.46,0,1.0019051438885,3.49072453622681,"no","no"
"ERR3256180",0.03,99.96,99.89,28.6,15.42,0,1.00070077084793,3.49265734265734,"no","no"
"ERR3256181",1.01,98.97,95.96,18.71,9.67,0.02,1.03136723634848,5.12880812399786,"Possible contamination","no"
"ERR3256182",0.05,99.95,99.87,27.29,14.5,0,1.00080104135376,3.65958226456578,"no","no"
"ERR3256183",0.02,99.97,99.92,28.48,15.45,0,1.00050040032026,3.50842696629213,"no","no"
"ERR3256184",0.03,99.96,99.9,28.68,15.53,0,1.0006006006006,3.48326359832636,"no","no"
"ERR3256185",0.05,99.94,99.81,28.68,15.49,0,1.00130247470193,3.48012552301255,"no","no"
"ERR3256186",0.05,99.95,99.83,26.64,13.77,0,1.00120204347391,3.74737237237237,"no","no"
"ERR3256187",0.06,99.93,99.81,28.75,15.47,0,1.00120228434025,3.47165217391304,"no","no"
"ERR3256188",0.06,99.93,99.83,28.69,15.67,0,1.00100170289492,3.47960962007668,"no","no"
"ERR3256189",0.04,99.96,99.89,26.71,13.76,0,1.00070077084793,3.73979782852864,"no","no"
"ERR3256190",0.06,99.93,99.77,28.8,15.71,0,1.00160368848351,3.46423611111111,"no","no"
